experiment_name,timestamp,session_id,trace_id,judge_trace_id,phase,memory,mode,conversation_index,turn_index,question_index,search_calls,top_k,memories_returned,question_category,question,answer,gold_answer,seed,judge_n,judge_verdict,judge_reason,toxic_latency,toxic_jitter,toxic_bandwidth,wall_ms,compute_ms,flush_ms,cpu_edge_ns,cpu_cloud_ns,ram_edge_peak_bytes,ram_cloud_peak_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_to_cloud_bytes,network_cloud_to_edge_bytes,edge_llm_tokens,edge_llm_cost_usd,cloud_llm_tokens,cloud_llm_cost_usd,llm_tokens,llm_cost_usd,responder_context_window_tokens,responder_context_window_cost_usd,error
rag_conv0_constrained,2026-05-13T07:24:43.054984+00:00,rag_conv0_constrained_8fca2a53,55762d1845df4ac2a6addcaba8d35e77,,warmup,rag,constrained,0,,,,,,,,"{""status"": ""success"", ""backend"": ""rag"", ""warmed"": true, ""collection"": ""rag_locomo_0_0574194f""}",,,,,,150.0,30.0,512.0,502.1606939990306,298.4065170021495,203.75417699688114,5702000,36794000,0.0,974848,0.0,196608.0,782,550,0,0.0,0,0.0,0,0.0,,,
rag_conv0_constrained,2026-05-13T07:24:43.556656+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,0,,,,,,1,[2023-05-08T13:56:00+00:00] Caroline: Hey Mel! Good to see you! How have you been?,,1,,,,150.0,30.0,512.0,500.9123729978455,297.1231789997546,203.78919399809092,4472000,55058000,0.0,0.0,0.0,8192.0,1154,863,0,0.0,33,0.00000066,33,0.00000066,,,
rag_conv0_constrained,2026-05-13T07:24:44.104989+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,1,,,,,,2,[2023-05-08T13:56:00+00:00] Melanie: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you,,1,,,,150.0,30.0,512.0,547.8144999942742,345.24860099190846,202.56589900236577,5308000,55164000,0.0,372736,0.0,8192.0,1207,902,0,0.0,47,0.00000094,47,0.00000094,,,
rag_conv0_constrained,2026-05-13T07:24:44.633580+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,2,,,,,,3,[2023-05-08T13:56:00+00:00] Caroline: I went to a LGBTQ support group yesterday and it was so powerful.,,1,,,,150.0,30.0,512.0,528.0654340022011,323.6293240042869,204.43610999791417,4681000,53289000,0.0,512000,0.0,8192.0,1175,886,0,0.0,34,0.00000068,34,0.00000068,,,
rag_conv0_constrained,2026-05-13T07:24:45.150079+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,3,,,,,,4,"[2023-05-08T13:56:00+00:00] Melanie: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any ins",,1,,,,150.0,30.0,512.0,515.9638629993424,313.0818689969601,202.88199400238227,39711000,48123000,0.0,663552,0.0,8192.0,1207,903,0,0.0,42,0.00000084,42,0.00000084,,,
rag_conv0_constrained,2026-05-13T07:24:45.678994+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,4,,,,,,5,[2023-05-08T13:56:00+00:00] Caroline: The transgender stories were so inspiring! I was so happy and thankful for all the,,1,,,,150.0,30.0,512.0,528.3966380084166,325.62262601277325,202.77401199564338,4636000,47945000,0.0,319488,0.0,12288.0,1363,970,0,0.0,60,0.0000012,60,0.0000012,,,
rag_conv0_constrained,2026-05-13T07:24:46.189300+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,5,,,,,,6,"[2023-05-08T13:56:00+00:00] Melanie: Wow, love that painting! So cool you found such a helpful group. What's it done for",,1,,,,150.0,30.0,512.0,509.81591500749346,305.95849100791384,203.85742399957962,4354000,46856000,0.0,0.0,0.0,8192.0,1263,969,0,0.0,42,0.00000084,42,0.00000084,,,
rag_conv0_constrained,2026-05-13T07:24:46.818498+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,6,,,,,,7,[2023-05-08T13:56:00+00:00] Caroline: The support group has made me feel accepted and given me courage to embrace myself,,1,,,,150.0,30.0,512.0,628.6304899986135,424.6331150061451,203.9973749924684,4979000,48696000,0.0,430080,0.0,8192.0,1193,901,0,0.0,36,0.00000072,36,0.00000072,,,
rag_conv0_constrained,2026-05-13T07:24:47.315147+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,7,,,,,,8,[2023-05-08T13:56:00+00:00] Melanie: That's really cool. You've got guts. What now?,,1,,,,150.0,30.0,512.0,496.08615500619635,293.23538299649954,202.8507720096968,4420000,46690000,0.0,233472,0.0,8192.0,1155,865,0,0.0,33,0.00000066,33,0.00000066,,,
rag_conv0_constrained,2026-05-13T07:24:48.144511+00:00,rag_conv0_constrained_8fca2a53,026a4d3f75bd3448835552b29c4ab36d,,load,rag,constrained,0,8,,,,,,9,"[2023-05-08T13:56:00+00:00] Caroline: Gonna continue my edu and check out career options, which is pretty exciting!",,1,,,,150.0,30.0,512.0,828.8162590033608,320.49814400670584,508.3181149966549,9281000,61361000,0.0,237568,0.0,413696.0,1187,898,0,0.0,36,0.00000072,36,0.00000072,,,
